1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
4 1 TRANS17771 tumblr_nhx1qd8CQo1rzzpwio1_400 What does the girl do before removes foodie ?extend arm	What does the girl do before removes foodie ?wears hoodie	What does the girl do before removes foodie ?aim gun	What does the girl do before removes foodie ?continue walking	What does the girl do before removes foodie ?point to herself
1 3 TRANS38238 tumblr_n946l6WWHJ1ri0wnso1_400 What does the man in black hat do after talk ?lean back	What does the man in black hat do after talk ?talk	What does the man in black hat do after talk ?looking straight forward	What does the man in black hat do after talk ?burst into laughter	What does the man in black hat do after talk ?place a rise in mouth
2 3 TRANS19350 tumblr_n9e5kmjc6O1stz49yo1_400 What does the woman do after look over shoulder ?ride a bike	What does the woman do after look over shoulder ?spin around	What does the woman do after look over shoulder ?fix hair	What does the woman do after look over shoulder ?face forward	What does the woman do after look over shoulder ?fly
3 4 TRANS1823 tumblr_nb5m2qyLay1tkbk15o1_250 What does the man do before point toward screen ?uncover face	What does the man do before point toward screen ?swerve right	What does the man do before point toward screen ?nibble pancake	What does the man do before point toward screen ?look at camera	What does the man do before point toward screen ?stroke hair
4 1 TRANS7470 tumblr_npy4c6ERuh1uv0y2ro1_250 What does the cat do after look to the left ?wheel onto skateboard	What does the cat do after look to the left ?raise a paw	What does the cat do after look to the left ?smirk	What does the cat do after look to the left ?tilt head	What does the cat do after look to the left ?rock head
1 0 TRANS52961 tumblr_ndlpxdOjzF1secmhko1_500 What does the old man do before close eye and shake head ?stand	What does the old man do before close eye and shake head ?smile	What does the old man do before close eye and shake head ?blow kiss towards camera	What does the old man do before close eye and shake head ?start talk	What does the old man do before close eye and shake head ?catch a fish
0 2 TRANS2046 tumblr_nh8vl4Fsmg1t0ojyvo1_400 What does the man do after smile ?content	What does the man do after smile ?search for something	What does the man do after smile ?clap hand	What does the man do after smile ?run forward	What does the man do after smile ?swipe thumb up
1 3 TRANS41840 tumblr_nq0308HA2T1uswp0ko1_400 What does the person do after receive ball ?close the door	What does the person do after receive ball ?point ahead	What does the person do after receive ball ?lift baby's head	What does the person do after receive ball ?dance around opponents	What does the person do after receive ball ?drop microphone
1 4 TRANS55770 tumblr_nhuoksIv0d1ra6i3zo1_500 What does the guy on left do after lean over ?catch a knife	What does the guy on left do after lean over ?smile	What does the guy on left do after lean over ?blow on flame	What does the guy on left do after lean over ?start to dance	What does the guy on left do after lean over ?stand up
0 4 TRANS58146 tumblr_ncmjkeXNal1u060u3o1_500 What does the girl on right do after clap hand ?look away	What does the girl on right do after clap hand ?smile	What does the girl on right do after clap hand ?pick up left hand	What does the girl on right do after clap hand ?stick out leg	What does the girl on right do after clap hand ?raise arm
4 3 TRANS28539 tumblr_nnjk2xnlKE1uuqdooo1_250 What does the man in blue shirt do before tap other guy leg ?spread arms	What does the man in blue shirt do before tap other guy leg ?cross arm	What does the man in blue shirt do before tap other guy leg ?reach out	What does the man in blue shirt do before tap other guy leg ?laugh	What does the man in blue shirt do before tap other guy leg ?stretch arm
0 1 TRANS28290 tumblr_n9j58pHohH1rhsc9uo1_250 What does the woman do after look toward the camera ?open look up	What does the woman do after look toward the camera ?shake head	What does the woman do after look toward the camera ?cross arm	What does the woman do after look toward the camera ?pass a sign	What does the woman do after look toward the camera ?show heart finger
2 4 TRANS48363 tumblr_ndxaa8dPaC1u24b8uo1_500 What does the turtle do before open mouth ?shake head	What does the turtle do before open mouth ?raise hand	What does the turtle do before open mouth ?roll eye	What does the turtle do before open mouth ?kick a ball	What does the turtle do before open mouth ?look at food
0 3 TRANS14727 tumblr_njttisuY3u1unjl1mo1_250 What does the guy do before smile ?taste something	What does the guy do before smile ?rub hand	What does the guy do before smile ?cover face	What does the guy do before smile ?jump	What does the guy do before smile ?smoke go back in mouth
0 1 TRANS21254 tumblr_naipp52gMh1s5yrv2o1_400 What does the woman do after smile ?walk away	What does the woman do after smile ?cover face	What does the woman do after smile ?nod head	What does the woman do after smile ?calm	What does the woman do after smile ?lean back on other two
4 1 TRANS17340 tumblr_n8rnwltUJl1rj9gnoo1_400 What does the man do after hold hand to face ?run out of the screen	What does the man do after hold hand to face ?smile	What does the man do after hold hand to face ?land in snow	What does the man do after hold hand to face ?lower hand	What does the man do after hold hand to face ?remove hand from neck
0 4 TRANS55585 tumblr_ng1jgl7aMz1slj978o1_400 What does the frog do before touch its tongue by two hand ?touch another kid's leg	What does the frog do before touch its tongue by two hand ?smile	What does the frog do before touch its tongue by two hand ?face forward	What does the frog do before touch its tongue by two hand ?lay down forward	What does the frog do before touch its tongue by two hand ?try to catch tongue to a dragonfly
2 1 TRANS57348 tumblr_nr1hscYbC31sqpuloo1_540 What does the man do after smile ?close mouth	What does the man do after smile ?shake shoulder	What does the man do after smile ?run finger through hair	What does the man do after smile ?point gun	What does the man do after smile ?catch fire
1 4 TRANS44257 tumblr_nki24gDtbq1u554gyo1_500 What does the cat do before try to get away ?raise a bottle	What does the cat do before try to get away ?walk	What does the cat do before try to get away ?close eye	What does the cat do before try to get away ?lie down on a sofa	What does the cat do before try to get away ?scratch wall
2 1 TRANS30409 tumblr_nr77in6HRv1urraj4o1_500 What does the man do before open mouth ?open mouth	What does the man do before open mouth ?shake head	What does the man do before open mouth ?play guitar	What does the man do before open mouth ?outside	What does the man do before open mouth ?close mouth
4 0 TRANS37233 tumblr_nork2uhJ4J1u0ed8wo1_500 What does the man on the right in a purple uniform do before shove another man ?run to the left	What does the man on the right in a purple uniform do before shove another man ?smile	What does the man on the right in a purple uniform do before shove another man ?kiss collar	What does the man on the right in a purple uniform do before shove another man ?bite paper	What does the man on the right in a purple uniform do before shove another man ?shake a can
4 2 TRANS41987 tumblr_nbfz1vhvmt1t6ksnpo2_500 What does the teenage man do before wave ?kiss the woman's forehead	What does the teenage man do before wave ?say something	What does the teenage man do before wave ?rotate slowly	What does the teenage man do before wave ?laugh	What does the teenage man do before wave ?talk
4 0 TRANS37646 tumblr_nrkv3gO5vR1s4eg66o1_400 What does the woman do after fix hair ?talk to camera	What does the woman do after fix hair ?lift head up	What does the woman do after fix hair ?swing	What does the woman do after fix hair ?lean on barbell	What does the woman do after fix hair ?flip hair behind shoulder
4 1 TRANS18404 tumblr_naeek5CTnf1tpqc8uo1_400 What does the man do after fan ?brush hair	What does the man do after fan ?hit a girl with fan	What does the man do after fan ?lean forward	What does the man do after fan ?remove a cloak	What does the man do after fan ?embrace
0 3 TRANS50487 tumblr_nbz9evJpXZ1tgqwj8o1_250 What does the woman do before blink rapidly ?smile	What does the woman do before blink rapidly ?shake head	What does the woman do before blink rapidly ?laugh	What does the woman do before blink rapidly ?close eye	What does the woman do before blink rapidly ?stick tongue out
2 4 TRANS47237 tumblr_nh3sdhA9bu1u5c0f8o1_500 What does the man do before fall down ?talk	What does the man do before fall down ?smile	What does the man do before fall down ?raise hand	What does the man do before fall down ?face left	What does the man do before fall down ?fly in the air
0 3 TRANS9313 tumblr_nrexu1YS0E1uz06r7o1_400 What does the dog do before catch ball ?cry	What does the dog do before catch ball ?drift	What does the dog do before catch ball ?raise hand in air	What does the dog do before catch ball ?slide on floor	What does the dog do before catch ball ?shrug face
1 4 TRANS2860 tumblr_nbk6g8Dydm1s22j6co1_250 What does the woman do after smile ?stare at big screen	What does the woman do after smile ?biting lip	What does the woman do after smile ?gasp	What does the woman do after smile ?tilt head back	What does the woman do after smile ?wave
3 0 TRANS17781 tumblr_nah4qi9p621tg1uwio1_400 What do the sunglasses do before fall off girls head ?on girls head	What do the sunglasses do before fall off girls head ?yell	What do the sunglasses do before fall off girls head ?smile	What do the sunglasses do before fall off girls head ?cheer to camera	What do the sunglasses do before fall off girls head ?shock
2 3 TRANS31337 tumblr_nczb7etZbU1qehq1fo1_400 What does the man do before remove by another man ?touch lip with finger	What does the man do before remove by another man ?flip hair	What does the man do before remove by another man ?lean head on the boy's shoulder	What does the man do before remove by another man ?protest in a crowd	What does the man do before remove by another man ?trick
0 3 TRANS26870 tumblr_ney6zmlSq71r82feqo1_400 What does the man do after talk ?rub neck	What does the man do after talk ?flip robe into the air	What does the man do after talk ?hit the drum	What does the man do after talk ?silent	What does the man do after talk ?pick him up
2 3 TRANS22754 tumblr_naouexEr5g1tvo8v1o1_500 What does the man do after sing into microphone ?drive straight	What does the man do after sing into microphone ?run	What does the man do after sing into microphone ?lower arm	What does the man do after sing into microphone ?smile	What does the man do after sing into microphone ?on the ground
4 0 TRANS45443 tumblr_njtvm1ky4S1u9tekro1_500 What does the woman do before blink eye ?stick out tongue	What does the woman do before blink eye ?raise hand	What does the woman do before blink eye ?open them	What does the woman do before blink eye ?smile	What does the woman do before blink eye ?close eyes
0 3 TRANS34836 tumblr_n8vjmktTSM1s6v7m4o1_1280 What does the woman do after stand still ?hug him	What does the woman do after stand still ?bite lip	What does the woman do after stand still ?bend	What does the woman do after stand still ?start twirl	What does the woman do after stand still ?kiss girl
4 3 TRANS35755 tumblr_ndd0liU8F51u0bmj8o1_250 What does the person on the right do before lower their arm ?raise head up	What does the person on the right do before lower their arm ?ride a skateboard in ground	What does the person on the right do before lower their arm ?eat cracker	What does the person on the right do before lower their arm ?touch their face	What does the person on the right do before lower their arm ?walk
2 4 TRANS40000 tumblr_ndz2blSzVT1tlgy1jo1_400 What does the young man do after face camera ?raise hand	What does the young man do after face camera ?close	What does the young man do after face camera ?begin scared	What does the young man do after face camera ?have hand over face	What does the young man do after face camera ?flip head down
0 1 TRANS17571 tumblr_n9powlIXXD1tiu45ao1_400 What does the woman do before look to left ?point forward	What does the woman do before look to left ?sing	What does the woman do before look to left ?remove helmet	What does the woman do before look to left ?tip body back and forth	What does the woman do before look to left ?lock the bottle
0 3 TRANS36626 tumblr_nhic56wdN51swdjefo1_400 What does the man do after throw arm out ?stop singing	What does the man do after throw arm out ?hit by a dog	What does the man do after throw arm out ?surprise	What does the man do after throw arm out ?lean forward	What does the man do after throw arm out ?wait
4 0 TRANS46500 tumblr_nbe95pILAZ1tx4ofso1_400 What does the man do after smile at cam ?motion with hand	What does the man do after smile at cam ?talk to a man	What does the man do after smile at cam ?happy	What does the man do after smile at cam ?pick up a dog	What does the man do after smile at cam ?worry about something
4 3 TRANS42023 tumblr_na3mc8CWtH1qls9cco2_500 What does the guy do before point ?lift other foot	What does the guy do before point ?step back	What does the guy do before point ?open mouth	What does the guy do before point ?laugh	What does the guy do before point ?drop arm
2 3 TRANS3984 tumblr_njwxz3cqjU1uo5qabo1_250 What does the girl in the black dress do after stands ?lean forward	What does the girl in the black dress do after stands ?thrust weapon	What does the girl in the black dress do after stands ?swap microphone in hand	What does the girl in the black dress do after stands ?waves	What does the girl in the black dress do after stands ?wink
0 2 TRANS6023 tumblr_nr9u0pdSej1uyj8ozo1_250 What does the lady do before jump up ?wave	What does the lady do before jump up ?skate	What does the lady do before jump up ?shoot pool ball	What does the lady do before jump up ?sip drink	What does the lady do before jump up ?inhale smoke
1 4 TRANS9547 tumblr_neyfonjRiM1rt9t46o1_250 What does the woman do before yell ?wink	What does the woman do before yell ?speak	What does the woman do before yell ?shrug off	What does the woman do before yell ?dry	What does the woman do before yell ?hit car with stick
2 0 TRANS23936 tumblr_nhdr3clKDa1sntw1mo1_400 What does the dog do after look at shelf ?smile later with tongue out	What does the dog do after look at shelf ?run	What does the dog do after look at shelf ?lower head	What does the dog do after look at shelf ?drive foward	What does the dog do after look at shelf ?on camera
2 1 TRANS11629 tumblr_ndoqxcn3iN1sd2bbjo1_400 What does the woman with a yellow clothe do before celebrate ?brush hair	What does the woman with a yellow clothe do before celebrate ?play rock paper scissor	What does the woman with a yellow clothe do before celebrate ?hug a boy	What does the woman with a yellow clothe do before celebrate ?spray it	What does the woman with a yellow clothe do before celebrate ?fork food
3 4 TRANS40907 tumblr_nk98cz79at1tk2ngvo1_400 What does the dog do before jump towards tennis ball ?shoot gun with one hand	What does the dog do before jump towards tennis ball ?hit the air	What does the dog do before jump towards tennis ball ?kick ball	What does the dog do before jump towards tennis ball ?pick up cake on fork	What does the dog do before jump towards tennis ball ?lie down
2 1 TRANS5093 tumblr_nc7yamQvrO1tg38keo1_250 What does the man do before walk away ?swipe hair	What does the man do before walk away ?dance	What does the man do before walk away ?reach out hand	What does the man do before walk away ?pound teammate	What does the man do before walk away ?faint on floor
4 2 TRANS27672 tumblr_na7qqs4yM11s516xoo1_400 What do the man who wears a red sweater do after stand opposite to another man ?on fire	What do the man who wears a red sweater do after stand opposite to another man ?embrace a woman	What do the man who wears a red sweater do after stand opposite to another man ?knock another man down	What do the man who wears a red sweater do after stand opposite to another man ?act surprised	What do the man who wears a red sweater do after stand opposite to another man ?follow other girl
2 4 TRANS48993 tumblr_n93oox0VfY1s824qjo1_r1_400 What does the person do before wave them at the camera ?start eating watermelon	What does the person do before wave them at the camera ?run	What does the person do before wave them at the camera ?point left hand at temple	What does the person do before wave them at the camera ?raise head	What does the person do before wave them at the camera ?kiss finger
0 3 TRANS46085 tumblr_nb54zugNnA1qdrz8wo1_500 What does the man do before push someone away ?smile	What does the man do before push someone away ?throw hoola hoop	What does the man do before push someone away ?roll on ground	What does the man do before push someone away ?report news	What does the man do before push someone away ?knock over chess piece
3 2 TRANS37929 tumblr_nobecu8wyv1s5cww5o1_400 What does the woman do before take of man's shirt ?have their arm raise in the air	What does the woman do before take of man's shirt ?run to a car	What does the woman do before take of man's shirt ?kiss man	What does the woman do before take of man's shirt ?point something	What does the woman do before take of man's shirt ?raise arm
1 3 TRANS20143 tumblr_n9rm0wQ5KP1thg4lco1_400 What does the man on left do before grab nose ?high fives with a boy	What does the man on left do before grab nose ?cover mouth	What does the man on left do before grab nose ?lower sword	What does the man on left do before grab nose ?laugh	What does the man on left do before grab nose ?shift eye
4 1 TRANS12491 tumblr_nri21xoyMA1uag6fqo1_400 What does the guy do before put head down ?trip	What does the guy do before put head down ?toss a phone	What does the guy do before put head down ?land on the floor	What does the guy do before put head down ?display bat wing	What does the guy do before put head down ?lower head
4 0 TRANS47792 tumblr_neddm7VXxe1u2b0jwo1_400 What does the kitten do after crawl along the ground ?pause to look at the camera	What does the kitten do after crawl along the ground ?raise hand up	What does the kitten do after crawl along the ground ?head bang	What does the kitten do after crawl along the ground ?open door	What does the kitten do after crawl along the ground ?place paw on the table
4 3 TRANS18530 tumblr_nknwol9MTw1rr3vzso1_400 What does the man in middle do after lean back ?appear upset	What does the man in middle do after lean back ?above the hand	What does the man in middle do after lean back ?enter door	What does the man in middle do after lean back ?kick up legs	What does the man in middle do after lean back ?lower head
1 4 TRANS14311 tumblr_nbgwtmfZZm1t29cvfo1_500 What does the man do before hold chin ?lifting head	What does the man do before hold chin ?rub body	What does the man do before hold chin ?pinch man's arm	What does the man do before hold chin ?lift leg	What does the man do before hold chin ?show eight fingers
0 1 TRANS38519 tumblr_nd1gxcY0Ky1syp7wuo1_400 What does the man do before turn head to spray paint onto the wall ?lift a purse	What does the man do before turn head to spray paint onto the wall ?look behind him	What does the man do before turn head to spray paint onto the wall ?raise eyebrow	What does the man do before turn head to spray paint onto the wall ?spin around	What does the man do before turn head to spray paint onto the wall ?swing table
0 3 TRANS34352 tumblr_nca11jFXRI1qhb3vzo1_500 What does the drummer do after stare ?disappear	What does the drummer do after stare ?open mouth	What does the drummer do after stare ?hide	What does the drummer do after stare ?beat drum	What does the drummer do after stare ?slide down stairs
2 0 TRANS8847 tumblr_neostvxdgZ1s3urzuo1_250 What does the man do before lift hand to face in cry motion ?smile	What does the man do before lift hand to face in cry motion ?running	What does the man do before lift hand to face in cry motion ?snarl lips	What does the man do before lift hand to face in cry motion ?land on skateboard	What does the man do before lift hand to face in cry motion ?dribble ball around yellow players
2 1 TRANS41849 tumblr_njxhochglk1sjb704o1_500 What does the guy in black shirt do before cover face with hand ?step on laptop	What does the guy in black shirt do before cover face with hand ?laugh	What does the guy in black shirt do before cover face with hand ?open robe	What does the guy in black shirt do before cover face with hand ?lift leg	What does the guy in black shirt do before cover face with hand ?drop dog
3 2 TRANS51615 tumblr_nakmlyurfi1t0cxw9o1_400 What does the man on left do before get hit and fall down ?shake head	What does the man on left do before get hit and fall down ?hang himself on stick	What does the man on left do before get hit and fall down ?approach to a man on right	What does the man on left do before get hit and fall down ?grab guy's arm	What does the man on left do before get hit and fall down ?blow a kiss
2 1 TRANS24318 tumblr_noyzyxj6MC1u6z5ppo1_400 What does the lady do after adjust a large doll ?hug	What does the lady do after adjust a large doll ?point forward	What does the lady do after adjust a large doll ?shake leg	What does the lady do after adjust a large doll ?sing into microphone	What does the lady do after adjust a large doll ?lick lips
1 4 TRANS16464 tumblr_npzz6lGvVe1u32cyao1_400 What does the man do after shake head ?chew	What does the man do after shake head ?wave hand	What does the man do after shake head ?hop backwards	What does the man do after shake head ?flip other guy	What does the man do after shake head ?close a door
0 2 TRANS8412 tumblr_nbw09yHJDi1ti7sj0o1_400 What does the woman in horse mask do after dance ?kiss girl on cheek	What does the woman in horse mask do after dance ?shake head	What does the woman in horse mask do after dance ?point	What does the woman in horse mask do after dance ?lick himself	What does the woman in horse mask do after dance ?tumble in the air
2 3 TRANS15074 tumblr_nir1ryJpQJ1slj978o1_400 What does the man do after run across road ?tap man on chest	What does the man do after run across road ?nod head	What does the man do after run across road ?bike down ramp	What does the man do after run across road ?lie down	What does the man do after run across road ?adjust the page
0 1 TRANS40828 tumblr_nh2cio27zt1u5p6oyo1_500 What does the woman do after smile ?kiss girl on cheek	What does the woman do after smile ?raise hand	What does the woman do after smile ?straight face	What does the woman do after smile ?smile	What does the woman do after smile ?flip
4 2 TRANS15517 tumblr_n97fbtXhCS1tbgrm9o1_250 What does the man do before smile ?spring up	What does the man do before smile ?run	What does the man do before smile ?stare	What does the man do before smile ?extend both hand	What does the man do before smile ?raise hand
0 4 TRANS47592 tumblr_mpuuiuohZa1sttfzzo1_250 What does the woman do after hold up notebooks ?point at screen	What does the woman do after hold up notebooks ?open eye	What does the woman do after hold up notebooks ?close eye	What does the woman do after hold up notebooks ?run left	What does the woman do after hold up notebooks ?shake head
2 0 TRANS45315 tumblr_narpfhWzYa1rg2esto1_400 What does the man on left do before move right ?touch chin	What does the man on left do before move right ?raise arm	What does the man on left do before move right ?walk left	What does the man on left do before move right ?run	What does the man on left do before move right ?stop spinning
4 3 TRANS34643 tumblr_n9535qdmnf1tyyv4yo1_400 What does the man do before jump ?lean forward	What does the man do before jump ?point at the camera	What does the man do before jump ?drop pot	What does the man do before jump ?sing	What does the man do before jump ?run
1 0 TRANS16463 tumblr_npzz6lGvVe1u32cyao1_400 What does the man do before close a door ?shake head	What does the man do before close a door ?open the gown and show legs	What does the man do before close a door ?perform trick	What does the man do before close a door ?drive on the road	What does the man do before close a door ?lower arm
3 0 TRANS14111 tumblr_n8sp7rpg971rcboh0o1_500 What does the skateboard do before on ground ?spin in air	What does the skateboard do before on ground ?in front of girl	What does the skateboard do before on ground ?open mouth	What does the skateboard do before on ground ?near the camera	What does the skateboard do before on ground ?stare into the camera
4 0 TRANS19379 tumblr_ncipuyvQXg1sw0xulo1_400 What does the woman do before smile ?show heart finger	What does the woman do before smile ?land to a board	What does the woman do before smile ?dip finger in food substance	What does the woman do before smile ?hug girl	What does the woman do before smile ?lick lips
2 0 TRANS34167 tumblr_nl0ze7lNnv1r9slz6o1_400 What does the person on right do before grab man ?run across the floor	What does the person on right do before grab man ?smile	What does the person on right do before grab man ?hug two fans	What does the person on right do before grab man ?bite	What does the person on right do before grab man ?kiss man
1 0 TRANS44369 tumblr_nr1qx68R9Q1uulsvio1_400 What does the dark haired man do before shout ?lean forward	What does the dark haired man do before shout ?stop	What does the dark haired man do before shout ?wait for ball	What does the dark haired man do before shout ?place behind door	What does the dark haired man do before shout ?catch a ball
2 4 TRANS52942 tumblr_nfis5uYi5P1qi4imuo1_1280 What does the woman do after touch face ?point	What does the woman do after touch face ?open eye	What does the woman do after touch face ?close eye	What does the woman do after touch face ?run toward a river	What does the woman do after touch face ?shake head
3 2 TRANS3465 tumblr_niri26KGiN1tft1c4o1_250 What does the girl on right do before get kissed by a man on left ?run away	What does the girl on right do before get kissed by a man on left ?wiggle hips	What does the girl on right do before get kissed by a man on left ?stare forward	What does the girl on right do before get kissed by a man on left ?raise hands up	What does the girl on right do before get kissed by a man on left ?uncover
0 3 TRANS50010 tumblr_nc8kyvQDPt1qge29wo1_400 What does the lady do after spin gun ?throw off the train	What does the lady do after spin gun ?run	What does the lady do after spin gun ?raise head up	What does the lady do after spin gun ?smile	What does the lady do after spin gun ?push woman's arm up
1 4 TRANS34079 tumblr_nkm1jpxtCI1tux4fao1_400 What does the man do before pump arm ?change their position	What does the man do before pump arm ?speak	What does the man do before pump arm ?stay the same	What does the man do before pump arm ?looking down	What does the man do before pump arm ?smash cone on head
1 0 TRANS21240 tumblr_nhqbp4iFdJ1th8ztno1_400 What does the woman do after make a funny face ?change to other face expressions	What does the woman do after make a funny face ?kiss her	What does the woman do after make a funny face ?walks up	What does the woman do after make a funny face ?lick finger	What does the woman do after make a funny face ?hug
0 2 TRANS51754 tumblr_nb3qf9RQwY1tvemb2o1_500 What does the man do after turn body around ?touch hair	What does the man do after turn body around ?walk	What does the man do after turn body around ?blow a kiss with hand	What does the man do after turn body around ?open mouth	What does the man do after turn body around ?raise arm
1 0 TRANS38147 tumblr_nc40txavRM1tm4pbeo1_400 What does the man do before start running ?clap hands	What does the man do before start running ?run	What does the man do before start running ?over a vechicle	What does the man do before start running ?reach out arm to grab	What does the man do before start running ?looking at the girl
2 1 TRANS58809 tumblr_nraf01MZL21scwzvxo1_400 What does the man do before circle right arm ?close mouth	What does the man do before circle right arm ?shake head	What does the man do before circle right arm ?point finger	What does the man do before circle right arm ?catch in the door	What does the man do before circle right arm ?walk backwards
2 0 TRANS26103 tumblr_nb22w3veZD1qjybsqo1_400 What does the girl do before smile ?stare	What does the girl do before smile ?on ground	What does the girl do before smile ?raise eyebrows	What does the girl do before smile ?lower arm	What does the girl do before smile ?run
2 4 TRANS35422 tumblr_nai0l5mxue1tosnwso1_400 What does the man on right do after talking ?push it over head	What does the man on right do after talking ?reach for woman	What does the man on right do after talking ?point	What does the man on right do after talking ?drop a cup	What does the man on right do after talking ?dancing
2 1 TRANS49591 tumblr_nrlg5vP7gE1sfttrso1_400 What does the man in orange do before stand menacingly ?smile	What does the man in orange do before stand menacingly ?jump out from behind a box	What does the man in orange do before stand menacingly ?face camera	What does the man in orange do before stand menacingly ?lie down	What does the man in orange do before stand menacingly ?touch face
0 2 TRANS32554 tumblr_nb2mbwe4XI1rfbfb1o1_400 What does the person do after move from the foothill ?fail to land correctly	What does the person do after move from the foothill ?hide behind screen	What does the person do after move from the foothill ?ride up	What does the person do after move from the foothill ?touch chin by a hand	What does the person do after move from the foothill ?draw two eye with pancake batter
4 2 TRANS26512 tumblr_nhzzy8iw8u1u7bawoo1_250 What does the man do after shake hips ?on	What does the man do after shake hips ?open door slowly	What does the man do after shake hips ?shake shoulder	What does the man do after shake hips ?cross arm	What does the man do after shake hips ?lower hand
1 2 TRANS9444 tumblr_nouvypVt4E1r9lvg6o1_400 What does the man do after smile ?sing	What does the man do after smile ?blink	What does the man do after smile ?place a flower in mouth	What does the man do after smile ?slap other man	What does the man do after smile ?shrug
3 1 TRANS130 tumblr_na7ng2zh3f1thntp8o1_250 What does the woman do after raise fist ?skim the river	What does the woman do after raise fist ?bow	What does the woman do after raise fist ?shrug shoulder	What does the woman do after raise fist ?withdraw arm	What does the woman do after raise fist ?become freezed
2 0 TRANS10391 tumblr_nrg4tlUJav1uahhyco1_250 What does the woman who wear a cap do before move away ?wave hand	What does the woman who wear a cap do before move away ?play drum	What does the woman who wear a cap do before move away ?lean forward	What does the woman who wear a cap do before move away ?sway head	What does the woman who wear a cap do before move away ?sniff the girl
0 3 TRANS5793 tumblr_nbwj61hEvs1ssxspno1_500 What does the man do before move to right ?reach forward	What does the man do before move to right ?faint	What does the man do before move to right ?raide arms up	What does the man do before move to right ?dance	What does the man do before move to right ?untie a tie
4 2 TRANS54524 tumblr_no5orm7PbC1u91nf3o1_500 What does the man do after look at camera ?hang down	What does the man do after look at camera ?smile	What does the man do after look at camera ?aim pretend gun	What does the man do after look at camera ?walk	What does the man do after look at camera ?back away
4 0 TRANS58189 tumblr_nb1cdezKJt1t3jhfvo1_500 What does the man listening to other man do before turn forward ?laugh	What does the man listening to other man do before turn forward ?run down stairs	What does the man listening to other man do before turn forward ?push wheelbarrow	What does the man listening to other man do before turn forward ?close eye	What does the man listening to other man do before turn forward ?hold hand on head
4 3 TRANS50424 tumblr_ncsvdePTit1tbmi9ho1_400 What does the person who drive a bus do after bite lip ?throw javelin	What does the person who drive a bus do after bite lip ?run towards truck	What does the person who drive a bus do after bite lip ?raise arm	What does the person who drive a bus do after bite lip ?smile	What does the person who drive a bus do after bite lip ?push a woman away from him
2 3 TRANS52965 tumblr_nhalstF3301smterco1_500 What does the girl do before turn head around ?throw food	What does the girl do before turn head around ?shake head	What does the girl do before turn head around ?smile at camera	What does the girl do before turn head around ?open mouth	What does the girl do before turn head around ?stick tongue out
3 4 TRANS22753 tumblr_naouexEr5g1tvo8v1o1_500 What does the man do before smile ?bottom lip stick out on left side	What does the man do before smile ?point at juice	What does the man do before smile ?lower hand	What does the man do before smile ?shift gaze	What does the man do before smile ?sing into microphone
3 0 TRANS14245 tumblr_nc4s35eZOs1r0xzhao1_500 What does the woman do before blink ?stare forward	What does the woman do before blink ?has hands on face	What does the woman do before blink ?run hand through hair	What does the woman do before blink ?raise arm	What does the woman do before blink ?lower arm
1 3 TRANS19878 tumblr_njvwny9VqM1unlvlpo1_400 What does the singer do after back to camera ?speak	What does the singer do after back to camera ?dip right hip	What does the singer do after back to camera ?rub face	What does the singer do after back to camera ?camera rotate around him	What does the singer do after back to camera ?cheer
3 1 TRANS24591 tumblr_n9xu4w1Lfq1tatohao1_400 What does the cat do before turn around ?lower arm	What does the cat do before turn around ?kick a door	What does the cat do before turn around ?appear from left	What does the cat do before turn around ?empty	What does the cat do before turn around ?write with pencil
0 1 TRANS14279 tumblr_nhp6t607291sde4gmo1_250 What does the person do before smile ?talk to the screen	What does the person do before smile ?brush hair backward	What does the person do before smile ?kicks the other	What does the person do before smile ?return to original spot	What does the person do before smile ?dance
0 1 TRANS34335 tumblr_nq3l4pzkwU1sht3fmo1_400 What does the monkey do before type ?walk	What does the monkey do before type ?cover face	What does the monkey do before type ?suddenly he look up while he smile	What does the monkey do before type ?laugh	What does the monkey do before type ?lean back
1 3 TRANS27670 tumblr_n96ket0CCZ1ttls4yo1_400 What does the man who is on the left do after stand with another man ?kiss woman	What does the man who is on the left do after stand with another man ?hug dog	What does the man who is on the left do after stand with another man ?shake	What does the man who is on the left do after stand with another man ?point finger to shoot a target	What does the man who is on the left do after stand with another man ?sing
0 3 TRANS56258 tumblr_ncazoq85vS1s4oc34o1_400 What does the man with a yellow clothe do after stop friends ?push him away	What does the man with a yellow clothe do after stop friends ?throw bottle	What does the man with a yellow clothe do after stop friends ?blow smoke	What does the man with a yellow clothe do after stop friends ?look angry	What does the man with a yellow clothe do after stop friends ?knock down
0 4 TRANS57827 tumblr_n8u22czhaM1s8uww1o1_500 What does the woman do before turn toward camera ?look at a woman	What does the woman do before turn toward camera ?smile	What does the woman do before turn toward camera ?pick up a bottle	What does the woman do before turn toward camera ?stick out tongue	What does the woman do before turn toward camera ?raise hand to face
2 4 TRANS57969 tumblr_nfgkpzxpv01qclz9ho1_1280 What does the woman do before yell ?sit up on the bed	What does the woman do before yell ?smile	What does the woman do before yell ?walk out door furiously	What does the woman do before yell ?start run	What does the woman do before yell ?cut fabric
