4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
0 1 TRANS43819 tumblr_notp7hlcph1rrjua9o1_400 What does the person at home plate do before catch ball ?stop	What does the person at home plate do before catch ball ?lean forward	What does the person at home plate do before catch ball ?wait for friend	What does the person at home plate do before catch ball ?place a rise in mouth	What does the person at home plate do before catch ball ?catch a squid
2 0 TRANS17564 tumblr_nk16jzasjy1s75dipo1_400 What does the man do after stare downward ?lift hood off	What does the man do after stare downward ?read something into microphone	What does the man do after stare downward ?blink	What does the man do after stare downward ?stare	What does the man do after stare downward ?react to be hit in the face
0 2 TRANS22505 tumblr_nnukunx7r61uuj39do1_400 What does the goat and boy do before ram little boy twice ?hold opponent upside down	What does the goat and boy do before ram little boy twice ?open umbrella	What does the goat and boy do before ram little boy twice ?goat back up	What does the goat and boy do before ram little boy twice ?bounce off rope	What does the goat and boy do before ram little boy twice ?move around
2 1 TRANS17148 tumblr_nkmh1lP9bX1upoq86o1_400 What does the man do after tell ?sing	What does the man do after tell ?point gun	What does the man do after tell ?chew	What does the man do after tell ?lick the air	What does the man do after tell ?fly away
4 2 TRANS4023 tumblr_nezdwodIKQ1r8cauwo1_250 What does the guy do before cover face with shirt ?stare	What does the guy do before cover face with shirt ?puff a cigarette	What does the guy do before cover face with shirt ?lift hand	What does the guy do before cover face with shirt ?flail arm around	What does the guy do before cover face with shirt ?mimic talk on the phone
2 3 TRANS41794 tumblr_nf5lw65lVf1tdjuqvo1_400 What does the boy do after stand ?raise middle finger	What does the boy do after stand ?close eye	What does the boy do after stand ?have head turn to side	What does the boy do after stand ?flip forward	What does the boy do after stand ?place person on lap
2 3 TRANS7163 tumblr_neqqo3SUs41ruoz0ko1_250 What does the woman do before push man ?wash hand	What does the woman do before push man ?purse over face	What does the woman do before push man ?stare at woman	What does the woman do before push man ?approach to a man	What does the woman do before push man ?inhale smoke
4 1 TRANS50134 tumblr_nfgsquCDMi1ssgyoro1_400 What does the baby do after dance ?touch the dog	What does the baby do after dance ?squat down	What does the baby do after dance ?open mouth	What does the baby do after dance ?smile	What does the baby do after dance ?make eleictric wire spark
3 1 TRANS18317 tumblr_n9hj4wRoaE1tddtydo1_400 What does the woman do before blow a kiss ?kiss that man	What does the woman do before blow a kiss ?count	What does the woman do before blow a kiss ?rock climb	What does the woman do before blow a kiss ?nod their head	What does the woman do before blow a kiss ?embrace another man
4 1 TRANS26689 tumblr_nbdrvlk5n11tl9e0co1_250 What does the man do before eat food ?blink eyes	What does the man do before eat food ?open mouth	What does the man do before eat food ?shake head	What does the man do before eat food ?beat drum	What does the man do before eat food ?wear glass
4 2 TRANS29984 tumblr_n9ljcuFQoT1tptpheo1_250 What does the guy on right do after knock on table ?inside car	What does the guy on right do after knock on table ?slide down on the stair	What does the guy on right do after knock on table ?nod head	What does the guy on right do after knock on table ?fly into the water	What does the guy on right do after knock on table ?can be see from behind
0 2 TRANS37041 tumblr_nb0u7kYz9i1tclavqo1_500 What does the man do before adjust jacket ?drop head	What does the man do before adjust jacket ?point at screen	What does the man do before adjust jacket ?sing	What does the man do before adjust jacket ?lean head back	What does the man do before adjust jacket ?run hand through hair
0 3 TRANS30066 tumblr_nc8b5ovuXE1tqpir1o1_500 What does the woman do after cover face with hand ?lean head on man	What does the woman do after cover face with hand ?dance right	What does the woman do after cover face with hand ?show object	What does the woman do after cover face with hand ?blow kiss	What does the woman do after cover face with hand ?embrace friend
4 1 TRANS534 tumblr_ngu7wk7EeC1qeyudjo1_250 What does the woman do after remove a bar from a game ?skate on dumpster	What does the woman do after remove a bar from a game ?celebrate	What does the woman do after remove a bar from a game ?stare at guy	What does the woman do after remove a bar from a game ?twitch around	What does the woman do after remove a bar from a game ?removes arm from girl
4 3 TRANS52234 tumblr_nl3ljyQlT21u34u6eo1_500 What does the girl do after kiss boy ?walk	What does the girl do after kiss boy ?knock over dominos	What does the girl do after kiss boy ?throw arm around	What does the girl do after kiss boy ?change position	What does the girl do after kiss boy ?grab other man's hand
0 2 TRANS28637 tumblr_njani5ubre1un7bwpo1_500 What does the boy do before turn head ?lick lips	What does the boy do before turn head ?eat an ice cream	What does the boy do before turn head ?wave	What does the boy do before turn head ?lean down	What does the boy do before turn head ?stay under water
3 2 TRANS52208 tumblr_ndmu0qjhiV1rj84s9o1_500 What does the man do after picking up food ?push someone in the face	What does the man do after picking up food ?touch face	What does the man do after picking up food ?eating	What does the man do after picking up food ?hold a ciggarette	What does the man do after picking up food ?knock over dominos
3 1 TRANS49449 tumblr_nbpt5t2YIF1qbsctso1_500 What does the person in tie do before turn to the right ?point something	What does the person in tie do before turn to the right ?sing	What does the person in tie do before turn to the right ?run away	What does the person in tie do before turn to the right ?step into a room	What does the person in tie do before turn to the right ?open eyes
0 1 TRANS43750 tumblr_nblqr9rLQQ1ssgyoro1_400 What does the man do after hold hamburger ?shake body	What does the man do after hold hamburger ?open it more	What does the man do after hold hamburger ?laugh	What does the man do after hold hamburger ?smile	What does the man do after hold hamburger ?kiss boy
4 2 TRANS16679 tumblr_npjox4Klua1uwrqzco1_400 What does the man do before drink from can ?lower both arm	What does the man do before drink from can ?appear in white	What does the man do before drink from can ?blow kiss	What does the man do before drink from can ?dance	What does the man do before drink from can ?pet a kitten
0 3 TRANS48427 tumblr_nfodj8xom01s3att3o1_500 What does the man do before step back ?walk forward	What does the man do before step back ?smile	What does the man do before step back ?laugh	What does the man do before step back ?cut wood	What does the man do before step back ?talk
4 2 TRANS39499 tumblr_no10vficIX1upqym3o1_400 What does the girl do before laugh ?drop down halfpipe	What does the girl do before laugh ?run fastly	What does the girl do before laugh ?pose on a rock	What does the girl do before laugh ?end a phone call	What does the girl do before laugh ?touch other man's hair
2 0 TRANS58598 tumblr_nak8cxbTci1tf8gffo1_400 What does the man do after put woman's hair in mouth ?spit the woman's hair out	What does the man do after put woman's hair in mouth ?fall out	What does the man do after put woman's hair in mouth ?look at crowd	What does the man do after put woman's hair in mouth ?start at woman	What does the man do after put woman's hair in mouth ?move tongue
2 1 TRANS24318 tumblr_noyzyxj6MC1u6z5ppo1_400 What does the lady do after adjust a large doll ?hug	What does the lady do after adjust a large doll ?point forward	What does the lady do after adjust a large doll ?shake leg	What does the lady do after adjust a large doll ?sing into microphone	What does the lady do after adjust a large doll ?lick lips
4 3 TRANS27669 tumblr_n96ket0CCZ1ttls4yo1_400 What does the man who is on the left do before point finger to shoot a target ?fix hair	What does the man who is on the left do before point finger to shoot a target ?lick the woman's hand	What does the man who is on the left do before point finger to shoot a target ?sleep	What does the man who is on the left do before point finger to shoot a target ?stand with another man	What does the man who is on the left do before point finger to shoot a target ?smoke
4 1 TRANS44061 tumblr_n9r5buI9cb1rf0r2eo1_500 What does the woman do before make a hand sign ?kiss	What does the woman do before make a hand sign ?raise a bottle	What does the woman do before make a hand sign ?straight face	What does the woman do before make a hand sign ?smile	What does the woman do before make a hand sign ?flip hair
1 0 TRANS18371 tumblr_ni0g2ztIwU1u2kzbjo2_400 What does the man do before lick lips ?talk	What does the man do before lick lips ?brush eye	What does the man do before lick lips ?dip head	What does the man do before lick lips ?lift hand	What does the man do before lick lips ?punch the bag
4 2 TRANS28514 tumblr_nch7clLs5L1tmllzbo1_250 What does the man do after open door ?climb on horse	What does the man do after open door ?run	What does the man do after open door ?smile	What does the man do after open door ?pass the ball to other player	What does the man do after open door ?cross arms
1 4 TRANS7222 tumblr_ne5uusuvNn1u2p22ho1_250 What does the man and a woman do after sit counter adjacent from each other ?smirk	What does the man and a woman do after sit counter adjacent from each other ?smiles	What does the man and a woman do after sit counter adjacent from each other ?inhale smoke	What does the man and a woman do after sit counter adjacent from each other ?drift on the street	What does the man and a woman do after sit counter adjacent from each other ?start to clap follow by the woman
3 2 TRANS353 tumblr_np94omHWq41szrn3yo1_250 What does the water do before in ?hug a woman	What does the water do before in ?inhale	What does the water do before in ?out	What does the water do before in ?skid	What does the water do before in ?cower body
2 3 TRANS53112 tumblr_np8ivduhRk1tn6pbso1_500 What does the woman do after raise one hand ?pick up crossbow	What does the woman do after raise one hand ?smile	What does the woman do after raise one hand ?touch other woman's nose	What does the woman do after raise one hand ?raise the other	What does the woman do after raise one hand ?stick tongue out
1 3 TRANS27752 tumblr_mg5ljrV1zw1rv2huvo1_400 What does the bear do after sit on the ground ?lick upper lip	What does the bear do after sit on the ground ?eat food	What does the bear do after sit on the ground ?drink from bottle	What does the bear do after sit on the ground ?wave a paw	What does the bear do after sit on the ground ?sing something out
0 1 TRANS28290 tumblr_n9j58pHohH1rhsc9uo1_250 What does the woman do after look toward the camera ?open look up	What does the woman do after look toward the camera ?shake head	What does the woman do after look toward the camera ?cross arm	What does the woman do after look toward the camera ?pass a sign	What does the woman do after look toward the camera ?show heart finger
2 3 TRANS10540 tumblr_nrdutikHSx1rqqgwvo1_250 What does the man do after flip egg ?hop on bar	What does the man do after flip egg ?awake startle	What does the man do after flip egg ?dump bucket on head	What does the man do after flip egg ?draw heart	What does the man do after flip egg ?drive on road
0 1 TRANS46094 tumblr_npkm6wiSO51sslx8ho1_500 What does the woman do after stare the screen ?roll eyeball around	What does the woman do after stare the screen ?walk	What does the woman do after stare the screen ?touch neck	What does the woman do after stare the screen ?blow hair	What does the woman do after stare the screen ?flip hair
1 2 TRANS42012 tumblr_nbyl1fxYSb1qi6itio1_250 What does the woman do after move hand ?open cabinet	What does the woman do after move hand ?step into the microphone	What does the woman do after move hand ?laugh	What does the woman do after move hand ?lift arm in the air	What does the woman do after move hand ?drop herself back down
3 4 TRANS22115 tumblr_neu26niUta1s9xziro1_500 What does the man do before smile ?in guy's hand	What does the man do before smile ?lower leg	What does the man do before smile ?run	What does the man do before smile ?raise eyebrows	What does the man do before smile ?stare
4 3 TRANS22865 tumblr_nfl4ngA2vq1s71nvbo1_250 What does the front man do before turn over table ?drive in the day	What does the front man do before turn over table ?lower hand	What does the front man do before turn over table ?sink under water	What does the front man do before turn over table ?dance	What does the front man do before turn over table ?clear window
0 2 TRANS31623 tumblr_ne30ri29Kw1teqeajo1_500 What do the man with a white pants do before lay on ground ?hit a guy in the face with a pillow	What do the man with a white pants do before lay on ground ?speak	What do the man with a white pants do before lay on ground ?wrap arm around head	What do the man with a white pants do before lay on ground ?serious face	What do the man with a white pants do before lay on ground ?sing
3 0 TRANS52790 tumblr_nhxflguip81tq0j6co1_500 What does the man do after brush girls hair ?close eye	What does the man do after brush girls hair ?shake head	What does the man do after brush girls hair ?smile	What does the man do after brush girls hair ?stick out tongue	What does the man do after brush girls hair ?talk to camera
1 3 TRANS17919 tumblr_n8x0vtknbl1rhmx5uo1_400 What does the left man do before sit up straight ?count one	What does the left man do before sit up straight ?adjust collar	What does the left man do before sit up straight ?raise arm	What does the left man do before sit up straight ?rock body	What does the left man do before sit up straight ?extend arm
0 1 TRANS16403 tumblr_nd1r6i3NAE1thpkw2o1_400 What does the man do before walk backwards ?cover face	What does the man do before walk backwards ?wave arm	What does the man do before walk backwards ?play guitar	What does the man do before walk backwards ?on top of chair	What does the man do before walk backwards ?stare in shock
4 0 TRANS57311 tumblr_neq6tpfcOB1sqlieso1_400 What does the gymnast do before spin in air ?back flip	What does the gymnast do before spin in air ?smile	What does the gymnast do before spin in air ?blow out smoke	What does the gymnast do before spin in air ?touch hand	What does the gymnast do before spin in air ?throw away garbage
2 1 TRANS38552 tumblr_nh0dnhTaeg1u2ba4ho1_400 What does the man do after touch ear ?flip table	What does the man do after touch ear ?place hand on microphone	What does the man do after touch ear ?lean	What does the man do after touch ear ?kiss another woman	What does the man do after touch ear ?spin around
3 2 TRANS3933 tumblr_nkjji1VI2G1up3tmfo1_250 What does the girl do before stick tongue out ?short	What does the girl do before stick tongue out ?thrust pelvis	What does the girl do before stick tongue out ?shake head	What does the girl do before stick tongue out ?open eye	What does the girl do before stick tongue out ?land on the ground
0 1 TRANS58661 tumblr_nc8m05WdLB1tljy7co1_500 What does the on the left do before return card ?smile at the camera	What does the on the left do before return card ?choose card	What does the on the left do before return card ?catch a fish	What does the on the left do before return card ?down	What does the on the left do before return card ?lay on ground
2 4 TRANS530 tumblr_ni50v7R0s31u1dgb1o1_250 What does the man do after ride a skateboard ?eject water from head	What does the man do after ride a skateboard ?curl lip up	What does the man do after ride a skateboard ?backflip	What does the man do after ride a skateboard ?howl	What does the man do after ride a skateboard ?flip it
3 1 TRANS34213 tumblr_na7ftj1IaL1tbx648o1_400 What does the man do before drop it ?talk	What does the man do before drop it ?lift money	What does the man do before drop it ?play music	What does the man do before drop it ?stuff face	What does the man do before drop it ?shoot man
2 0 TRANS56714 tumblr_nhvd9bsgbE1u7ielzo1_500 What does the man with blue shirt do after turn head ?start talking	What does the man with blue shirt do after turn head ?smile	What does the man with blue shirt do after turn head ?touch	What does the man with blue shirt do after turn head ?lay down	What does the man with blue shirt do after turn head ?blow a kiss
3 1 TRANS17460 tumblr_nkiqdkU0Xw1sn9nmoo1_400 What does the man do after look at camera ?run	What does the man do after look at camera ?smile	What does the man do after look at camera ?on a table	What does the man do after look at camera ?use both hand	What does the man do after look at camera ?lower arm
3 0 TRANS21603 tumblr_nql8slVS0v1u1q122o1_400 What does the man with a pitcher do before roll body to the right ?roll body to the left	What does the man with a pitcher do before roll body to the right ?help to dress	What does the man with a pitcher do before roll body to the right ?show peace sign with finger	What does the man with a pitcher do before roll body to the right ?walks down hall	What does the man with a pitcher do before roll body to the right ?calm
4 1 TRANS27810 tumblr_nrf9zjY0WI1tjgql6o1_400 What does the man on left do after point ?lift head with bag on it	What does the man on left do after point ?play air drum	What does the man on left do after point ?lean closer to camera	What does the man on left do after point ?mouth close	What does the man on left do after point ?bend over
4 0 TRANS26136 tumblr_nf97i5e4jP1qd3i5fo1_400 What does the woman do after raise eyebrows ?roll eyes	What does the woman do after raise eyebrows ?watch a person on right explaining	What does the woman do after raise eyebrows ?grasp at a man	What does the woman do after raise eyebrows ?pose close with woman on right	What does the woman do after raise eyebrows ?show teeth
4 0 TRANS45237 tumblr_nrae7mMdrN1ua4mf8o1_400 What does the cat do before cheese on face ?face clean	What does the cat do before cheese on face ?run to base	What does the cat do before cheese on face ?throw arm out	What does the cat do before cheese on face ?jump	What does the cat do before cheese on face ?pick up dog
0 2 TRANS51754 tumblr_nb3qf9RQwY1tvemb2o1_500 What does the man do after turn body around ?touch hair	What does the man do after turn body around ?walk	What does the man do after turn body around ?blow a kiss with hand	What does the man do after turn body around ?open mouth	What does the man do after turn body around ?raise arm
3 1 TRANS53226 tumblr_nfdhm4hgxd1qmjp5wo1_500 What does the woman do after sing ?run hand through hair	What does the woman do after sing ?smile	What does the woman do after sing ?throw the ball	What does the woman do after sing ?push man's arm down	What does the woman do after sing ?jump onto a bed
3 0 TRANS57722 tumblr_nlfwbq8BFe1u9v1wso1_400 What does the man do after get thrown by superman ?fall down	What does the man do after get thrown by superman ?smile	What does the man do after get thrown by superman ?stick out tongue	What does the man do after get thrown by superman ?grab backside	What does the man do after get thrown by superman ?hand it back to him
2 4 TRANS3950 tumblr_niqzllM4Uk1u9nt3mo1_250 What does the man do after look ahead ?on slope	What does the man do after look ahead ?gasp	What does the man do after look ahead ?stare ahead	What does the man do after look ahead ?chew something	What does the man do after look ahead ?wave both hand
3 0 TRANS45924 tumblr_nc9qsvK3cL1qzxt6io1_250 What does the woman do after talk to camera ?trip	What does the woman do after talk to camera ?shake head	What does the woman do after talk to camera ?stick head through hole	What does the woman do after talk to camera ?lay hand on baby	What does the woman do after talk to camera ?touch a microphone cable
4 0 TRANS47792 tumblr_neddm7VXxe1u2b0jwo1_400 What does the kitten do after crawl along the ground ?pause to look at the camera	What does the kitten do after crawl along the ground ?raise hand up	What does the kitten do after crawl along the ground ?head bang	What does the kitten do after crawl along the ground ?open door	What does the kitten do after crawl along the ground ?place paw on the table
4 0 TRANS48684 tumblr_nq0ietOo6o1qa3o0zo2_500 What does the man do after walk towards player ?tap hand	What does the man do after walk towards player ?lie in bed	What does the man do after walk towards player ?talk	What does the man do after walk towards player ?smile	What does the man do after walk towards player ?look away
3 0 TRANS57503 tumblr_nfsnjfIgj91t0b7dco1_500 What does the woman do before point away ?point to herself	What does the woman do before point away ?smile	What does the woman do before point away ?blow a kiss at camera	What does the woman do before point away ?touch the person's hand with paw	What does the woman do before point away ?lay down
0 3 TRANS38599 tumblr_nq9tkzX6Mn1syyvtvo1_400 What does the woman do before leaning backward ?lift hand	What does the woman do before leaning backward ?eat popcorn	What does the woman do before leaning backward ?shoot an arrow	What does the woman do before leaning backward ?turning	What does the woman do before leaning backward ?bite cookie
4 3 TRANS28301 tumblr_n9zlvzY5jO1sp3selo1_250 What does the woman with a brown and black Poseidon top do before shift eye to the side ?squeeze lever	What does the woman with a brown and black Poseidon top do before shift eye to the side ?drink coffee	What does the woman with a brown and black Poseidon top do before shift eye to the side ?climb on top of door	What does the woman with a brown and black Poseidon top do before shift eye to the side ?look straight ahead	What does the woman with a brown and black Poseidon top do before shift eye to the side ?lift arm
2 4 TRANS35032 tumblr_ne4ukt1AIR1r7zltao1_400 What does the woman do after raise bouquet ?lift hand to face in cry motion	What does the woman do after raise bouquet ?reach out	What does the woman do after raise bouquet ?point finger upwards	What does the woman do after raise bouquet ?hide in grassy field	What does the woman do after raise bouquet ?dance
2 1 TRANS51501 tumblr_nfv5xzlgj31u25yojo1_400 What does the man do before talk ?open mouth	What does the man do before talk ?shake head	What does the man do before talk ?close eye	What does the man do before talk ?run at car	What does the man do before talk ?point
1 4 TRANS50779 tumblr_ni0frlEG9u1smv4t3o1_500 What does the woman do before hold hand together ?stand	What does the woman do before hold hand together ?look down	What does the woman do before hold hand together ?talk	What does the woman do before hold hand together ?pick up	What does the woman do before hold hand together ?stroke hair
0 2 TRANS4958 tumblr_niwh49iIHm1r6bo3fo1_400 What does the man do after stare ?flick tongue	What does the man do after stare ?skate away	What does the man do after stare ?laugh	What does the man do after stare ?inhale	What does the man do after stare ?shift eye around
4 1 TRANS42776 tumblr_nqtljw2VYI1uzrt09o1_400 What does the hockey player do after stand on the wall ?walk to a girl	What does the hockey player do after stand on the wall ?pressed by others	What does the hockey player do after stand on the wall ?talk	What does the hockey player do after stand on the wall ?ride a horse	What does the hockey player do after stand on the wall ?run towards ball
2 0 TRANS22527 tumblr_nqmicwQywL1s4vjdko1_400 What does the woman do before touch hair ?spin	What does the woman do before touch hair ?beside chair	What does the woman do before touch hair ?open eyes wide	What does the woman do before touch hair ?hug a person with c label	What does the woman do before touch hair ?sign
2 3 TRANS18048 tumblr_nknbdinpz91sph7v6o1_400 What does the guy do after sing ?wipe chin	What does the guy do after sing ?wave to people	What does the guy do after sing ?tap face with finger	What does the guy do after sing ?look down	What does the guy do after sing ?toss package
2 0 TRANS15889 tumblr_ngff5boyIU1qz92cvo1_250 What does the man do before give thumb up ?cover mouth with hand	What does the man do before give thumb up ?laugh	What does the man do before give thumb up ?lean forward	What does the man do before give thumb up ?pause and ponder something	What does the man do before give thumb up ?yell
3 0 TRANS13835 tumblr_nbp2e0Uw4E1sj5pwvo1_400 What does the man do before watch boys ?drop arm	What does the man do before watch boys ?smile	What does the man do before watch boys ?smiling	What does the man do before watch boys ?hug a person	What does the man do before watch boys ?smiles
4 3 TRANS55896 tumblr_nbht40Boo11sfb11po1_500 What does the man do after walk ?start face man	What does the man do after walk ?open a wrapper	What does the man do after walk ?run towards elevator	What does the man do after walk ?smack a camera	What does the man do after walk ?make a face
0 1 TRANS10165 tumblr_na0tm0ReHw1tj7hseo1_250 What does the woman do before talk ?lick lips	What does the woman do before talk ?wave	What does the woman do before talk ?sway on road	What does the woman do before talk ?sniff fire	What does the woman do before talk ?lean forward
2 4 TRANS12158 tumblr_natce7n1dj1taq9qwo1_250 What does the woman do after talk ?score goal	What does the woman do after talk ?gap at mouth	What does the woman do after talk ?frame face with hand	What does the woman do after talk ?wave at camera	What does the woman do after talk ?drink from cup
4 2 TRANS20788 tumblr_nftd5s8MAr1qc51c0o1_400 What does the man do after wear a hat ?speak	What does the man do after wear a hat ?brush hair off of face	What does the man do after wear a hat ?hit by a fish	What does the man do after wear a hat ?embrace a woman	What does the man do after wear a hat ?wrap legs around other guy
1 0 TRANS2053 tumblr_nk1ef2n01Q1sgfw2yo1_250 What does the man do before rock leg ?pump fists	What does the man do before rock leg ?speak	What does the man do before rock leg ?backflip	What does the man do before rock leg ?moonwalk	What does the man do before rock leg ?smirk slightly
3 0 TRANS45465 tumblr_nh07lr7LIE1tqm4yoo1_500 What does the man do before looks away ?sticks out tongue	What does the man do before looks away ?talk	What does the man do before looks away ?raise arm	What does the man do before looks away ?open eye	What does the man do before looks away ?close mouth
4 3 TRANS53019 tumblr_ndjmseALcv1sbow0fo1_500 What does the woman wearing black do before fix ponytail ?smile	What does the woman wearing black do before fix ponytail ?talk	What does the woman wearing black do before fix ponytail ?see face	What does the woman wearing black do before fix ponytail ?spray the girl's hair	What does the woman wearing black do before fix ponytail ?move hand
3 2 TRANS21241 tumblr_n9ynh2Hx361qfyx3mo1_400 What does the man do before open door ?press lips together	What does the man do before open door ?allow it to drop	What does the man do before open door ?bang head	What does the man do before open door ?through door	What does the man do before open door ?cross arms
0 4 TRANS22002 tumblr_nqxm80ySXt1usju2ko1_250 What does the woman on left do after look at a picture ?hug the other man	What does the woman on left do after look at a picture ?dance to the left	What does the woman on left do after look at a picture ?stare at something	What does the woman on left do after look at a picture ?wave hand	What does the woman on left do after look at a picture ?put it down
1 2 TRANS11094 tumblr_nnzkzxzWdA1qhojs7o1_250 What does the girl do after walk ?trailer	What does the girl do after walk ?bits lip	What does the girl do after walk ?raise a yellow colored object	What does the girl do after walk ?stare	What does the girl do after walk ?guitar behind back
2 4 TRANS20201 tumblr_nbcgxcAnLa1qc6y5wo1_400 What does the man on right do before lift arms ?slide down chair	What does the man on right do before lift arms ?body  halfway off the floor during exercise	What does the man on right do before lift arms ?lower arm	What does the man on right do before lift arms ?smoke	What does the man on right do before lift arms ?nod head
3 1 TRANS4551 tumblr_np4dzwBgIT1rvfirpo1_500 What does the boy at center do before move cap in front of camera ?rub hair	What does the boy at center do before move cap in front of camera ?point hand toward a cap	What does the boy at center do before move cap in front of camera ?flail	What does the boy at center do before move cap in front of camera ?hug a woman	What does the boy at center do before move cap in front of camera ?snuggle toy dog
1 3 TRANS19880 tumblr_ncmf9iu3nr1tf406do1_400 What does the man do after wave arm ?shape a baloon into a dog	What does the man do after wave arm ?stretch arm out with microphone	What does the man do after wave arm ?in dog paw	What does the man do after wave arm ?shout	What does the man do after wave arm ?shift to the right of man
4 2 TRANS35656 tumblr_noqt1xz8xT1tfrbpqo1_400 What does the reporter do after talk to a microphone ?play the drum	What does the reporter do after talk to a microphone ?open mouth	What does the reporter do after talk to a microphone ?shake head	What does the reporter do after talk to a microphone ?close eye	What does the reporter do after talk to a microphone ?reach towards a man
2 1 TRANS57017 tumblr_n7qshb2AJP1sug4g8o1_500 What does the woman do before open mouth ?catch up by someone	What does the woman do before open mouth ?lift head up	What does the woman do before open mouth ?look the other way	What does the woman do before open mouth ?start smile	What does the woman do before open mouth ?can't see face
3 0 TRANS899 tumblr_nrch75ohMt1uxcqdvo1_250 What does the person in white shirt do before throw money on seat ?wave money around	What does the person in white shirt do before throw money on seat ?smokes cigarette	What does the person in white shirt do before throw money on seat ?gasp in surprise	What does the person in white shirt do before throw money on seat ?eat	What does the person in white shirt do before throw money on seat ?pout
0 4 TRANS50888 tumblr_n8vy1zr6mL1tybtj2o1_500 What does the child do after spin ?walk out of build	What does the child do after spin ?smile	What does the child do after spin ?touch neck	What does the child do after spin ?shake finger	What does the child do after spin ?assume the split position
0 3 TRANS36117 tumblr_nc8b7fU5a11s0svh1o1_500 What does the kitten do before get pushed over ?step into a room	What does the kitten do before get pushed over ?hit woman in the head	What does the kitten do before get pushed over ?reach for something	What does the kitten do before get pushed over ?wear a hat	What does the kitten do before get pushed over ?raise arms
1 4 TRANS504 tumblr_ncc3fjkfjz1twdp7go1_250 What does the boy do after drag the razor along jaw ?kneel on floor	What does the boy do after drag the razor along jaw ?chew pepper	What does the boy do after drag the razor along jaw ?scurry away	What does the boy do after drag the razor along jaw ?wiggle toe	What does the boy do after drag the razor along jaw ?lift it
2 1 TRANS46131 tumblr_n9aykw5gk31ts2zxro1_400 What does the woman do before nod at camera ?open mouth	What does the woman do before nod at camera ?shake shoulder	What does the woman do before nod at camera ?close mouth	What does the woman do before nod at camera ?run	What does the woman do before nod at camera ?point a gun
2 0 TRANS22241 tumblr_ne4c3hRuqZ1sm50zqo1_500 What does the woman do before smile ?raise arm	What does the woman do before smile ?rock back	What does the woman do before smile ?stare to side	What does the woman do before smile ?snap finger	What does the woman do before smile ?blink
0 1 TRANS8260 tumblr_nh06wdYAA01u42drvo1_250 What does the girl on right do after stare ahead ?grin teeth	What does the girl on right do after stare ahead ?kiss man on head	What does the girl on right do after stare ahead ?pat the man shoulder	What does the girl on right do after stare ahead ?exhale smoke	What does the girl on right do after stare ahead ?run
2 3 TRANS11236 tumblr_nbdro9plFr1tfri6co1_400 What does the young man in stripped shirt do after smile ?land on floor	What does the young man in stripped shirt do after smile ?hug lady	What does the young man in stripped shirt do after smile ?wreck	What does the young man in stripped shirt do after smile ?tap friend	What does the young man in stripped shirt do after smile ?ride the motorcycle
4 1 TRANS12491 tumblr_nri21xoyMA1uag6fqo1_400 What does the guy do before put head down ?trip	What does the guy do before put head down ?toss a phone	What does the guy do before put head down ?land on the floor	What does the guy do before put head down ?display bat wing	What does the guy do before put head down ?lower head
4 2 TRANS33934 tumblr_ncb83m7DU11sp9uxmo1_500 What does the woman do after legs cross ?talk	What does the woman do after legs cross ?speak	What does the woman do after legs cross ?legs uncross	What does the woman do after legs cross ?change glass	What does the woman do after legs cross ?play the guitar
0 2 TRANS8807 tumblr_n9iy2q8Dyp1s9lomgo1_250 What does the man do before dance ?shimmy hips	What does the man do before dance ?shake head	What does the man do before dance ?open door	What does the man do before dance ?balance leg	What does the man do before dance ?rub wrist
1 0 TRANS39468 tumblr_njoyykt1lr1r6utd5o1_400 What does the girl do after cry ?fall down after a car hit her	What does the girl do after cry ?smile broadly	What does the girl do after cry ?touch to the alligator	What does the girl do after cry ?spin in circle	What does the girl do after cry ?ride a skateboard
3 1 TRANS31339 tumblr_nl35teks1p1u9vl8lo2_r2_400 What does the baby do before turn in surprise ?ride a remote car	What does the baby do before turn in surprise ?touch screen	What does the baby do before turn in surprise ?fight over a microphone	What does the baby do before turn in surprise ?eat a snack	What does the baby do before turn in surprise ?sing
4 3 TRANS39939 tumblr_nbxov9bbaA1slw55qo1_500 What does the man in black shirt do before break pile ?cry	What does the man in black shirt do before break pile ?kiss woman	What does the man in black shirt do before break pile ?laugh with chin in chest	What does the man in black shirt do before break pile ?clear bricks	What does the man in black shirt do before break pile ?swing the fly swatter
4 2 TRANS18362 tumblr_n9fi4pJOjk1tddtydo1_400 What does the woman do after pull hair ?balance treat	What does the woman do after pull hair ?perform skateboard trick in air	What does the woman do after pull hair ?blow kiss	What does the woman do after pull hair ?adjust a large doll	What does the woman do after pull hair ?nod head
4 2 TRANS8848 tumblr_neostvxdgZ1s3urzuo1_250 What does the man do after smile ?shrug	What does the man do after smile ?stare at candy	What does the man do after smile ?lift hand to face in cry motion	What does the man do after smile ?swirl	What does the man do after smile ?snarl lips
1 4 TRANS9635 tumblr_nfs3zdVBpy1u2uoslo1_250 What does the man do before smile at another boy ?sway hips	What does the man do before smile at another boy ?blink	What does the man do before smile at another boy ?shimmy	What does the man do before smile at another boy ?shake head	What does the man do before smile at another boy ?open door
