0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
4 3 TRANS46983 tumblr_nre08sIRTN1txd6p7o1_400 What does the man do before blink eye ?behind the car	What does the man do before blink eye ?walk backward	What does the man do before blink eye ?smile	What does the man do before blink eye ?freeze	What does the man do before blink eye ?happy
4 0 TRANS12433 tumblr_nauhia4ADE1tfni3oo1_400 What does the man do before object fall ?pass by	What does the man do before object fall ?biting bottom lip	What does the man do before object fall ?peel tape	What does the man do before object fall ?spray the other man	What does the man do before object fall ?cup hand
4 0 TRANS19330 tumblr_ncr8kjIvC91soy6h3o1_250 What does the man do after shake head ?yell	What does the man do after shake head ?in sewer	What does the man do after shake head ?lower arm	What does the man do after shake head ?shape a heart with hand	What does the man do after shake head ?light a cigarette
0 4 TRANS30141 tumblr_n9ngclyZ8r1rjumweo1_500 What does the woman do before bounce ?silly	What does the woman do before bounce ?beat hand to the air	What does the woman do before bounce ?bounce on ground	What does the woman do before bounce ?slap woman	What does the woman do before bounce ?open arm
1 3 TRANS10887 tumblr_nczg2aOKa01tugd7xo1_400 What does the soldier on right do before trip over tire ?twirl to the left	What does the soldier on right do before trip over tire ?execute a pushup	What does the soldier on right do before trip over tire ?brush hair	What does the soldier on right do before trip over tire ?kick	What does the soldier on right do before trip over tire ?in elevator
4 0 TRANS28490 tumblr_nglax486gU1u3jifro1_250 What does the woman do after smile ?lean head over	What does the woman do after smile ?play guitar	What does the woman do after smile ?watch	What does the woman do after smile ?fly	What does the woman do after smile ?show peace sign
3 4 TRANS4292 tumblr_npfh788puC1tkkgpso1_250 What does the woman do after hold ?plead with someone	What does the woman do after hold ?tilt head	What does the woman do after hold ?wave hand	What does the woman do after hold ?inhale smoke	What does the woman do after hold ?eat
0 3 TRANS23771 tumblr_nph9oahgME1sj5w9fo1_400 What does the scarf do before man's hands ?hug man	What does the scarf do before man's hands ?bounce	What does the scarf do before man's hands ?shake head	What does the scarf do before man's hands ?in the table	What does the scarf do before man's hands ?flip hair
4 1 TRANS3766 tumblr_nac7r67PCz1ttrqwxo1_250 What does the woman do after get surprised by something ?puff on a cigarette	What does the woman do after get surprised by something ?close moth	What does the woman do after get surprised by something ?yawn	What does the woman do after get surprised by something ?deflate cheek	What does the woman do after get surprised by something ?uncover face
0 2 TRANS52769 tumblr_nkaonzuJHF1t90xflo1_500 What does the woman do before turn around ?talk	What does the woman do before turn around ?smile at someone	What does the woman do before turn around ?drop coat	What does the woman do before turn around ?walk	What does the woman do before turn around ?lay down him
4 0 TRANS48137 tumblr_nbat0uVzd51tl5sxvo1_250 What does the man who wear a black jacket do before walk away ?raise hand	What does the man who wear a black jacket do before walk away ?smile	What does the man who wear a black jacket do before walk away ?flip on snowboard in air	What does the man who wear a black jacket do before walk away ?touch the mannequin's shoulder	What does the man who wear a black jacket do before walk away ?head towards planet
2 0 TRANS35978 tumblr_ngc5q2xB581thb2ogo1_500 What does the man do after wave stick ?shake body	What does the man do after wave stick ?open	What does the man do after wave stick ?play drum	What does the man do after wave stick ?close legs	What does the man do after wave stick ?reach forward
4 1 TRANS21309 tumblr_no3egvvTIl1rj2ui6o1_400 What does the man on center do before turn around ?in front of camera	What does the man on center do before turn around ?clap	What does the man on center do before turn around ?reach out	What does the man on center do before turn around ?run on bus	What does the man on center do before turn around ?on bed
2 3 TRANS36077 tumblr_nqtjn9aMbk1qbvprao1_500 What does the woman do before drive a car ?lean down	What does the woman do before drive a car ?point	What does the woman do before drive a car ?drop hand slowly down to kitten	What does the woman do before drive a car ?sing	What does the woman do before drive a car ?run on roof
4 2 TRANS8848 tumblr_neostvxdgZ1s3urzuo1_250 What does the man do after smile ?shrug	What does the man do after smile ?stare at candy	What does the man do after smile ?lift hand to face in cry motion	What does the man do after smile ?swirl	What does the man do after smile ?snarl lips
3 2 TRANS14143 tumblr_n8xaa8ScfH1rhhof0o1_500 What does the lady do before lower spoon ?wave hand	What does the lady do before lower spoon ?lower arm	What does the lady do before lower spoon ?lick spoon	What does the lady do before lower spoon ?complete turn	What does the lady do before lower spoon ?perform trick
0 3 TRANS39851 tumblr_nekkoo8eQO1r967ipo1_500 What does the man do before look forward ?point	What does the man do before look forward ?run	What does the man do before look forward ?have a hole	What does the man do before look forward ?kiss girl	What does the man do before look forward ?raise hand and point
1 3 TRANS30524 tumblr_nh4kp4iSKN1rsfix9o1_500 What does the man do after blow cigarette smoke ?bend down	What does the man do after blow cigarette smoke ?drink from cup	What does the man do after blow cigarette smoke ?lift arm into air	What does the man do after blow cigarette smoke ?look up	What does the man do after blow cigarette smoke ?dance in a circle
4 2 TRANS8021 tumblr_nozeurbvJO1ssgyoro1_250 What does the woman do before wave hand ?thrust hips	What does the woman do before wave hand ?view change to second man	What does the woman do before wave hand ?swing towel over shoulder	What does the woman do before wave hand ?talk with another girl	What does the woman do before wave hand ?holler
1 0 TRANS18499 tumblr_n9u6g2ilEM1qh7r42o1_400 What does the woman do before stick tongue out ?lift shoulder	What does the woman do before stick tongue out ?talk	What does the woman do before stick tongue out ?dance to side	What does the woman do before stick tongue out ?blink	What does the woman do before stick tongue out ?stare
4 3 TRANS41512 tumblr_nnyl3sHshs1tjbfjto1_400 What does the woman do after pull popcorn out of bag ?lift right hand	What does the woman do after pull popcorn out of bag ?spin	What does the woman do after pull popcorn out of bag ?step out of the box	What does the woman do after pull popcorn out of bag ?eat popcorn	What does the woman do after pull popcorn out of bag ?touch other guy's hand
3 0 TRANS22205 tumblr_na7mrc0HwL1qdauj7o1_400 What does the singer do before walk backwards away from microphone ?sing	What does the singer do before walk backwards away from microphone ?lower both arm	What does the singer do before walk backwards away from microphone ?shift eye away	What does the singer do before walk backwards away from microphone ?point to crowd	What does the singer do before walk backwards away from microphone ?stretch it's legs into the air
4 2 TRANS53547 tumblr_nl3cxnXrtW1syyvhqo1_500 What does the woman do before hug guy ?point	What does the woman do before hug guy ?run	What does the woman do before hug guy ?kiss guy on cheek	What does the woman do before hug guy ?start run	What does the woman do before hug guy ?open hand as he pull them from head
3 0 TRANS8808 tumblr_n9iy2q8Dyp1s9lomgo1_250 What does the man do after open door ?dance	What does the man do after open door ?chew on the card	What does the man do after open door ?backflips with scooter	What does the man do after open door ?disappeared	What does the man do after open door ?scurry away
1 3 TRANS34315 tumblr_nbkik6yQpN1tut3ipo1_500 What does the girl do before walk away ?spin out	What does the girl do before walk away ?lean forward	What does the girl do before walk away ?roll across the ground	What does the girl do before walk away ?walk up to give kiss	What does the girl do before walk away ?touch the wall
3 2 TRANS12427 tumblr_naidmtIv1H1twoe5do1_400 What does the kitten do before touch mouth ?stare left	What does the kitten do before touch mouth ?sing into microphone	What does the kitten do before touch mouth ?wave	What does the kitten do before touch mouth ?chew	What does the kitten do before touch mouth ?eat it out of hand
1 0 TRANS23355 tumblr_ncxek2fXqk1r3lx9qo1_400 What does the man do before clap hand ?rock hips	What does the man do before clap hand ?raise arm	What does the man do before clap hand ?allow it to drop	What does the man do before clap hand ?aim rifle	What does the man do before clap hand ?fix hair
4 1 TRANS44823 tumblr_ndwzkxNPfq1u1810lo1_500 What does the man do before turn head ?run	What does the man do before turn head ?rub an animal	What does the man do before turn head ?open wine bottle	What does the man do before turn head ?fall down	What does the man do before turn head ?talk
0 4 TRANS19614 tumblr_nqj7ahVNOh1uvie7bo1_400 What does the dog do after look up ?settle down	What does the dog do after look up ?spin legs	What does the dog do after look up ?shake head back and forth	What does the dog do after look up ?fade away	What does the dog do after look up ?open mouth
0 3 TRANS52413 tumblr_n8qeorPOOE1t6ksnpo1_500 What does the man do before look at that man ?see bird	What does the man do before look at that man ?close mouth	What does the man do before look at that man ?talk	What does the man do before look at that man ?pour the water to other man	What does the man do before look at that man ?jump on a dog
1 4 TRANS50783 tumblr_nebsdeAxMv1tlysvco1_250 What does the man do before put on a hat ?fall on the ground	What does the man do before put on a hat ?grab other man's hand	What does the man do before put on a hat ?blow a kiss	What does the man do before put on a hat ?hand down	What does the man do before put on a hat ?talk
1 4 TRANS22225 tumblr_n9w68eOVgx1tif07xo1_400 What does the woman do before wave hand ?sing	What does the woman do before wave hand ?on head	What does the woman do before wave hand ?suck on a cigarette	What does the woman do before wave hand ?lean in	What does the woman do before wave hand ?wave stuff animal's paw
4 1 TRANS9687 tumblr_nb9wspZqGo1tkc9f9o1_250 What does the man do before push device on wrist ?adjust clothe	What does the man do before push device on wrist ?walk	What does the man do before push device on wrist ?shock	What does the man do before push device on wrist ?sniff the girl	What does the man do before push device on wrist ?wave hand
2 3 TRANS8424 tumblr_nebni51x4q1u1209ao1_250 What does the woman do after smile ?dance	What does the woman do after smile ?wave sparkler	What does the woman do after smile ?pour hot sauce	What does the woman do after smile ?close a door	What does the woman do after smile ?flip woman onto shoulder
3 0 TRANS18545 tumblr_na3ymhnmXj1twnwxvo1_400 What does the girl do before cover mouth ?flip hair	What does the girl do before cover mouth ?nod	What does the girl do before cover mouth ?breathe air	What does the girl do before cover mouth ?smoke cigarette	What does the girl do before cover mouth ?attack by two puppies
0 2 TRANS57858 tumblr_nblj3fIHy61tp4xxmo1_500 What does the woman do after lower head ?stick out tongue	What does the woman do after lower head ?smile	What does the woman do after lower head ?close mouth	What does the woman do after lower head ?lay still	What does the woman do after lower head ?jump
4 2 TRANS21604 tumblr_nql8slVS0v1u1q122o1_400 What does the man with a pitcher do after roll body to the left ?show peace sign	What does the man with a pitcher do after roll body to the left ?pose	What does the man with a pitcher do after roll body to the left ?roll body to the right	What does the man with a pitcher do after roll body to the left ?appear in white	What does the man with a pitcher do after roll body to the left ?walks away
0 2 TRANS31444 tumblr_ncqcsfFKnr1rshkvyo1_400 What does the woman do after sit ?dance	What does the woman do after sit ?watch camera	What does the woman do after sit ?lay down	What does the woman do after sit ?miss him	What does the woman do after sit ?bounce it on knees
0 2 TRANS25083 tumblr_njwb3012Rt1tdkk34o1_250 What does the woman on right do before laugh ?fix hair	What does the woman on right do before laugh ?reach forward	What does the woman on right do before laugh ?dance	What does the woman on right do before laugh ?clear table	What does the woman on right do before laugh ?pass soccer ball
0 4 TRANS48428 tumblr_nfodj8xom01s3att3o1_500 What does the man do after cut wood ?kick opponent	What does the man do after cut wood ?laugh	What does the man do after cut wood ?smile	What does the man do after cut wood ?hang upside down	What does the man do after cut wood ?step back
0 4 TRANS19858 tumblr_nrjmxuJrpb1sw471io1_400 What does the man do after turn ?on	What does the man do after turn ?cross arm	What does the man do after turn ?open beak	What does the man do after turn ?in house	What does the man do after turn ?shake butt
2 0 TRANS39190 tumblr_npfmxrSz3Q1rhv77ko1_400 What does the woman do after put something into ear ?step up to the microphone	What does the woman do after put something into ear ?bite object	What does the woman do after put something into ear ?eat a treat	What does the woman do after put something into ear ?laugh	What does the woman do after put something into ear ?shoot target
4 0 TRANS42428 tumblr_n9r5jyrlhR1sfbetvo1_250 What does the man do after look at pool ?pick up bottle	What does the man do after look at pool ?lie in bag	What does the man do after look at pool ?smile	What does the man do after look at pool ?raise arm	What does the man do after look at pool ?kiss woman
0 4 TRANS14699 tumblr_nr9pmbOD2F1uaf3d2o1_400 What does the model do before turn around ?die	What does the model do before turn around ?smoke cigarette	What does the model do before turn around ?remove hat	What does the model do before turn around ?talk calmly	What does the model do before turn around ?swing a coat
0 4 TRANS45378 tumblr_nacqlmg29U1sn53c3o1_500 What does the man do after hug a woman ?raise hand	What does the man do after hug a woman ?run	What does the man do after hug a woman ?kick	What does the man do after hug a woman ?drop hand apart	What does the man do after hug a woman ?smile
2 0 TRANS23939 tumblr_na5nxkhvGS1ti5broo1_500 What does the man do before lick finger ?pray	What does the man do before lick finger ?spin out	What does the man do before lick finger ?slightly move to the right	What does the man do before lick finger ?swing a stick	What does the man do before lick finger ?punch
0 1 TRANS19027 tumblr_njuduaKBUM1rdixa9o1_400 What does the woman do beforehand make a heart ?sing	What does the woman do beforehand make a heart ?hand down	What does the woman do beforehand make a heart ?swim	What does the woman do beforehand make a heart ?explode	What does the woman do beforehand make a heart ?climb on a desk
0 1 TRANS40428 tumblr_nd1axvPIfX1qls3joo1_250 What does the man in black foodie do after walk ?walk over to guy in yellow	What does the man in black foodie do after walk ?adjust handcuff	What does the man in black foodie do after walk ?kiss woman	What does the man in black foodie do after walk ?cry	What does the man in black foodie do after walk ?surprise
3 2 TRANS58171 tumblr_na09f2go3u1qkrfyno1_500 What does the woman do before lean back ?run forward	What does the woman do before lean back ?close a blind	What does the woman do before lean back ?shake head	What does the woman do before lean back ?point	What does the woman do before lean back ?catch a net
4 0 TRANS28308 tumblr_ni2gaft02A1u3mx44o1_250 What does the man do after throw item up ?hit with head	What does the man do after throw item up ?lean back	What does the man do after throw item up ?speak	What does the man do after throw item up ?sleep	What does the man do after throw item up ?embrace a woman
4 0 TRANS34167 tumblr_nl0ze7lNnv1r9slz6o1_400 What does the person on right do before grab man ?run across the floor	What does the person on right do before grab man ?smile	What does the person on right do before grab man ?hug two fans	What does the person on right do before grab man ?bite	What does the person on right do before grab man ?kiss man
4 0 TRANS39909 tumblr_niu3xmqvkH1qb7ropo1_500 What does the man do before wave both hand ?wave one hand	What does the man do before wave both hand ?pick up	What does the man do before wave both hand ?shoot puck	What does the man do before wave both hand ?walk back	What does the man do before wave both hand ?sit
4 3 TRANS47314 tumblr_nh0k5qCxmO1qlxwfao1_400 What does the man do after do dance move back and forth ?flip over	What does the man do after do dance move back and forth ?smile	What does the man do after do dance move back and forth ?laugh	What does the man do after do dance move back and forth ?extend hand outward	What does the man do after do dance move back and forth ?turns
1 2 TRANS48379 tumblr_nr6wu9RNsq1uz4yjlo1_500 What does the woman do before turn body around ?talk with a woman	What does the woman do before turn body around ?look to left	What does the woman do before turn body around ?stroke hair	What does the woman do before turn body around ?pick up guitar	What does the woman do before turn body around ?stand up
3 2 TRANS6430 tumblr_nguilcoM241r74jdyo1_250 What does the blonde man do after face wall ?salute	What does the blonde man do after face wall ?blank face	What does the blonde man do after face wall ?spin in place	What does the blonde man do after face wall ?fire canons	What does the blonde man do after face wall ?lunge right leg
3 1 TRANS37342 tumblr_nogkhlzgRK1uvi76ao1_500 What does the right man do after hug man ?talk	What does the right man do after hug man ?lift him up	What does the right man do after hug man ?shoot man	What does the right man do after hug man ?pretend to drink tea underwater	What does the right man do after hug man ?turned
0 2 TRANS6196 tumblr_n9lpsunVP61t1j1f4o1_250 What does the man on left do after look at camera ?scrunch lip up	What does the man on left do after look at camera ?wag finger	What does the man on left do after look at camera ?lick lips	What does the man on left do after look at camera ?fan herself	What does the man on left do after look at camera ?inhale cigarette
3 1 TRANS45495 tumblr_nqxxwoxpjy1rv5gmso1_400 What does the skateboard do before on ramp ?grab neck	What does the skateboard do before on ramp ?in air	What does the skateboard do before on ramp ?shake right leg	What does the skateboard do before on ramp ?kick at ball	What does the skateboard do before on ramp ?kiss
1 3 TRANS48510 tumblr_ngfsbfhWro1t1j5lxo1_400 What does the man do after get pinched by a woman ?smile	What does the man do after get pinched by a woman ?lie on bed	What does the man do after get pinched by a woman ?talk	What does the man do after get pinched by a woman ?grab hand	What does the man do after get pinched by a woman ?raise arm
0 3 TRANS7920 tumblr_nc0bml1h561t7io47o1_250 What does the dog do after look at mailman ?claw the man's shoe	What does the dog do after look at mailman ?wink	What does the dog do after look at mailman ?bend over	What does the dog do after look at mailman ?have mail place in mouth	What does the dog do after look at mailman ?lick lips
2 1 TRANS57359 tumblr_ni3bhgVXHU1u86ghoo1_500 What does the woman do before dance in alley ?close newspaper	What does the woman do before dance in alley ?flip over couch	What does the woman do before dance in alley ?run with football	What does the woman do before dance in alley ?feel ecstasy	What does the woman do before dance in alley ?come and shake hand with another man
1 2 TRANS56073 tumblr_ncx742lmV61rcumn7o1_400 What does the man do before smile ?walk over to guy in yellow	What does the man do before smile ?smile	What does the man do before smile ?remove flower from mouth	What does the man do before smile ?jump and bump chest with others	What does the man do before smile ?fall
1 4 TRANS54278 tumblr_nrh5qvi58Y1u0uk6mo1_400 What does the man do after move up ?throw ball	What does the man do after move up ?lay down	What does the man do after move up ?shake hand	What does the man do after move up ?blow out smoke	What does the man do after move up ?show gun
0 3 TRANS18406 tumblr_niu5dzNP7G1u62tooo1_400 What does the dog do after nod head down and bite toy ?play guitar	What does the dog do after nod head down and bite toy ?dance	What does the dog do after nod head down and bite toy ?pop bubble	What does the dog do after nod head down and bite toy ?lift head up	What does the dog do after nod head down and bite toy ?blink
2 4 TRANS39571 tumblr_nc3e3globU1snid6qo1_400 What does the woman do before embrace a man ?spin on snow	What does the woman do before embrace a man ?hands up	What does the woman do before embrace a man ?cry	What does the woman do before embrace a man ?shake legs and butt	What does the woman do before embrace a man ?trip
4 1 TRANS30523 tumblr_nh4kp4iSKN1rsfix9o1_500 What does the man do before look up ?dance	What does the man do before look up ?blow cigarette smoke	What does the man do before look up ?lean back	What does the man do before look up ?sing	What does the man do before look up ?walk off
0 3 TRANS53956 tumblr_nfcce89zzc1tubwqbo1_400 What do the singer who wears a white cloth do after sing and dance ?look left	What do the singer who wears a white cloth do after sing and dance ?smile and lower hand	What do the singer who wears a white cloth do after sing and dance ?walk on the street	What do the singer who wears a white cloth do after sing and dance ?push another singer	What do the singer who wears a white cloth do after sing and dance ?talk
1 4 TRANS37750 tumblr_nnwzkgSJFc1qg0or6o1_400 What does the dancer on left do after spin flag ?touch hair	What does the dancer on left do after spin flag ?run outside of field	What does the dancer on left do after spin flag ?drop a cake	What does the dancer on left do after spin flag ?end the call	What does the dancer on left do after spin flag ?pose
2 3 TRANS49811 tumblr_nax34fpBeq1rxahw2o1_250 What does the man do before walk after her ?run backwards	What does the man do before walk after her ?raise eyebrow	What does the man do before walk after her ?walk away	What does the man do before walk after her ?touch face	What does the man do before walk after her ?stop at microphone
0 1 TRANS56540 tumblr_nkryq13Fgy1tvfpn9o1_500 What does the man do after look at another man ?touch right hand	What does the man do after look at another man ?walk	What does the man do after look at another man ?blow a kiss	What does the man do after look at another man ?stick out tongue	What does the man do after look at another man ?push other guy
3 0 TRANS9160 tumblr_nf1k9o3fUJ1sd99qgo1_400 What does the man do after raise arm ?slide to girl	What does the man do after raise arm ?land on the ground	What does the man do after raise arm ?kill zombie	What does the man do after raise arm ?shrug shoulder	What does the man do after raise arm ?raise hand to mouth
0 1 TRANS5645 tumblr_nk5dmol2Kr1uovdz3o1_400 What does the female in white dress do before lean back ?shrug shoulder up	What does the female in white dress do before lean back ?dance forward	What does the female in white dress do before lean back ?faint on floor	What does the female in white dress do before lean back ?raide arms up	What does the female in white dress do before lean back ?remove a paper from face
4 2 TRANS55083 tumblr_n921a936fJ1tfax0ho1_500 What does the girl on left do before touch guy's chin ?push skateboard	What does the girl on left do before touch guy's chin ?run away scar	What does the girl on left do before touch guy's chin ?stare at guy	What does the girl on left do before touch guy's chin ?start walk	What does the girl on left do before touch guy's chin ?bring hand down
2 3 TRANS11236 tumblr_nbdro9plFr1tfri6co1_400 What does the young man in stripped shirt do after smile ?land on floor	What does the young man in stripped shirt do after smile ?hug lady	What does the young man in stripped shirt do after smile ?wreck	What does the young man in stripped shirt do after smile ?tap friend	What does the young man in stripped shirt do after smile ?ride the motorcycle
3 4 TRANS22071 tumblr_nq09sfR1ZE1uwvxdio1_250 What does the guy on left do before wrap legs around other guy ?wipe tear	What does the guy on left do before wrap legs around other guy ?cover mouth	What does the guy on left do before wrap legs around other guy ?brush hair	What does the guy on left do before wrap legs around other guy ?wear a sunglasses	What does the guy on left do before wrap legs around other guy ?jump on other guy
3 4 TRANS50896 tumblr_n9ens5DPpF1ttu918o1_500 What does the man do after sit in tub ?jump	What does the man do after sit in tub ?smile	What does the man do after sit in tub ?laugh	What does the man do after sit in tub ?walk toward a pool	What does the man do after sit in tub ?remove tie
3 4 TRANS22753 tumblr_naouexEr5g1tvo8v1o1_500 What does the man do before smile ?bottom lip stick out on left side	What does the man do before smile ?point at juice	What does the man do before smile ?lower hand	What does the man do before smile ?shift gaze	What does the man do before smile ?sing into microphone
4 1 TRANS4551 tumblr_np4dzwBgIT1rvfirpo1_500 What does the boy at center do before move cap in front of camera ?rub hair	What does the boy at center do before move cap in front of camera ?point hand toward a cap	What does the boy at center do before move cap in front of camera ?flail	What does the boy at center do before move cap in front of camera ?hug a woman	What does the boy at center do before move cap in front of camera ?snuggle toy dog
0 4 TRANS33420 tumblr_nho6f9JthI1tklnd7o1_500 What does the man do after smile ?slowly sit	What does the man do after smile ?smile	What does the man do after smile ?lean to right	What does the man do after smile ?begin to fall asleep	What does the man do after smile ?throw up
2 3 TRANS15331 tumblr_np337z8sUF1upx9wro1_400 What does the man do before turn to right ?rotate badge of person on right	What does the man do before turn to right ?pet ring	What does the man do before turn to right ?open shirt	What does the man do before turn to right ?beat to head	What does the man do before turn to right ?remove speakers
3 0 TRANS28484 tumblr_nhs46ihJuj1tdi3uyo1_250 What does the man do after chew finger nail ?stop looking sad	What does the man do after chew finger nail ?dance	What does the man do after chew finger nail ?lean down	What does the man do after chew finger nail ?grasp a microphone	What does the man do after chew finger nail ?bounce everywhere
4 1 TRANS28882 tumblr_nogk5y4GWe1uvzfbqo1_400 What does the man do after slide chair ?smile	What does the man do after slide chair ?lower chair	What does the man do after slide chair ?laugh	What does the man do after slide chair ?talk to man	What does the man do after slide chair ?sing into microphone
4 1 TRANS34447 tumblr_nc2tbjQ4oZ1rmiij7o1_500 What does the woman on left do before point at woman on the right ?run	What does the woman on left do before point at woman on the right ?hug woman in the middle	What does the woman on left do before point at woman on the right ?change hand position	What does the woman on left do before point at woman on the right ?play piano and lean body forward	What does the woman on left do before point at woman on the right ?begin to hit the other inmate
4 1 TRANS17340 tumblr_n8rnwltUJl1rj9gnoo1_400 What does the man do after hold hand to face ?run out of the screen	What does the man do after hold hand to face ?smile	What does the man do after hold hand to face ?land in snow	What does the man do after hold hand to face ?lower hand	What does the man do after hold hand to face ?remove hand from neck
1 3 TRANS46329 tumblr_n95lv77flD1qa1sj6o1_250 What does the lady do before fall ?place it around woman on left's neck	What does the lady do before fall ?stop walk	What does the lady do before fall ?wait with tail wagging	What does the lady do before fall ?lean on a car	What does the lady do before fall ?catch in the door
2 3 TRANS24526 tumblr_nd59lk8wV51rvlzjoo1_400 What does the woman do after aim ?fold arm	What does the woman do after aim ?nod head	What does the woman do after aim ?lift right hand	What does the woman do after aim ?shoot arrow	What does the woman do after aim ?embrace man
1 3 TRANS52856 tumblr_ncl3g3epy01si8j6uo1_500 What does the man do after sit ?talk	What does the man do after sit ?touch man neck	What does the man do after sit ?smile	What does the man do after sit ?climb on desk	What does the man do after sit ?hand wave in front of left shoulder
3 0 TRANS13835 tumblr_nbp2e0Uw4E1sj5pwvo1_400 What does the man do before watch boys ?drop arm	What does the man do before watch boys ?smile	What does the man do before watch boys ?smiling	What does the man do before watch boys ?hug a person	What does the man do before watch boys ?smiles
3 1 TRANS31712 tumblr_naxep6N7nq1td6onfo1_500 What does the man do after spin a stick ?slide down	What does the man do after spin a stick ?destroy a piano	What does the man do after spin a stick ?sitting	What does the man do after spin a stick ?ride motorcycle	What does the man do after spin a stick ?swing in the hammock
4 3 TRANS3802 tumblr_ne13ygyzyP1t5ojzdo1_250 What does the woman do after keep hand against the floor ?runs on a race track	What does the woman do after keep hand against the floor ?shrug shoulder	What does the woman do after keep hand against the floor ?inhale smoke from a pipe	What does the woman do after keep hand against the floor ?roll on the floor	What does the woman do after keep hand against the floor ?display cd to screen
0 2 TRANS31320 tumblr_nd7tdcsPmW1tnpvyyo1_400 What does the woman do after hide face ?shut the door	What does the woman do after hide face ?reach out arm	What does the woman do after hide face ?dance	What does the woman do after hide face ?steal paper	What does the woman do after hide face ?disappear under the water
4 2 TRANS8479 tumblr_n9s3hg7Ld31ti9iujo1_250 What does the man do before eat food ?frown	What does the man do before eat food ?pucker lips	What does the man do before eat food ?bounce in seat	What does the man do before eat food ?swivel hips	What does the man do before eat food ?speak to a woman
3 4 TRANS37395 tumblr_nrkc0sh9Q61us2u6eo1_500 What does the woman do before adjust top ?open mouth	What does the woman do before adjust top ?lean towards to a man	What does the woman do before adjust top ?walk away	What does the woman do before adjust top ?touch guy's shoulder	What does the woman do before adjust top ?blow bubble
4 2 TRANS19557 tumblr_nczp2qvU8V1tsq7wxo1_400 What does the woman do before gently wipe finger and hand ?dance	What does the woman do before gently wipe finger and hand ?shock	What does the woman do before gently wipe finger and hand ?pick up napkin	What does the woman do before gently wipe finger and hand ?rise up on the screen	What does the woman do before gently wipe finger and hand ?wave right hand
1 0 TRANS45748 tumblr_nk5q2mZhE21u7s4oro1_400 What does the hand man do after stand ?lay down	What does the hand man do after stand ?kick	What does the hand man do after stand ?run out of the snow	What does the hand man do after stand ?flip	What does the hand man do after stand ?happy
3 1 TRANS9620 tumblr_nc7efqGkwg1t7dot3o1_250 What does the woman do after raise hand ?frown	What does the woman do after raise hand ?jump	What does the woman do after raise hand ?swat at dog	What does the woman do after raise hand ?rub hand together	What does the woman do after raise hand ?at the top of the hill
0 4 TRANS53266 tumblr_n9xajuUoU71t5ojzdo1_250 What does the person do after lift the medallion in one hand ?look over shoulder	What does the person do after lift the medallion in one hand ?smile	What does the person do after lift the medallion in one hand ?knock over other wrestler	What does the person do after lift the medallion in one hand ?shake butt	What does the person do after lift the medallion in one hand ?transfer it to the other hand
3 1 TRANS7228 tumblr_nd6tq5naM61sq9h0ho1_400 What does the woman do after cover mouth ?sniff hedgehog	What does the woman do after cover mouth ?wave hand	What does the woman do after cover mouth ?rub perfume on the right	What does the woman do after cover mouth ?squint eye	What does the woman do after cover mouth ?on the ground
3 1 TRANS18318 tumblr_n9hj4wRoaE1tddtydo1_400 What does the woman do after count ?lower arm	What does the woman do after count ?blow a kiss	What does the woman do after count ?perform trick	What does the woman do after count ?balance	What does the woman do after count ?dance fastly
4 3 TRANS6007 tumblr_nas6imP7Vp1tqwpulo1_250 What does the man do before stretch hand out ?tilt head	What does the man do before stretch hand out ?pounce on a toy	What does the man do before stretch hand out ?film the woman's torso	What does the man do before stretch hand out ?squat	What does the man do before stretch hand out ?playing guitar
1 0 TRANS55586 tumblr_ng1jgl7aMz1slj978o1_400 What does the frog do after try to catch tongue to a dragonfly ?touch it's tongue by two hand	What does the frog do after try to catch tongue to a dragonfly ?walk	What does the frog do after try to catch tongue to a dragonfly ?run toward man	What does the frog do after try to catch tongue to a dragonfly ?stop and turn body straight to the screen	What does the frog do after try to catch tongue to a dragonfly ?blow smoke
0 3 TRANS9159 tumblr_nf1k9o3fUJ1sd99qgo1_400 What does the man do before slide to girl ?fade from red	What does the man do before slide to girl ?wink	What does the man do before slide to girl ?blink	What does the man do before slide to girl ?raise arm	What does the man do before slide to girl ?shrug shoulder
0 4 TRANS34685 tumblr_njx53gIjMr1u5hseoo1_500 What does the man do before catch phone ?slowly move head up to the side from the outside of window	What does the man do before catch phone ?smile	What does the man do before catch phone ?lean backward	What does the man do before catch phone ?begin flap wing	What does the man do before catch phone ?throw phone
0 2 TRANS38734 tumblr_ngnfjchNR91tlfgv0o1_400 What does the man do after stand still ?point	What does the man do after stand still ?reach hand out	What does the man do after stand still ?dance toward left	What does the man do after stand still ?lift flour	What does the man do after stand still ?close
2 0 TRANS25646 tumblr_nhjoyzQcjX1shw3clo1_400 What does the man do after look at ornament ?adjust ornament	What does the man do after look at ornament ?rock upward	What does the man do after look at ornament ?man move eye back and forth	What does the man do after look at ornament ?walk	What does the man do after look at ornament ?kiss the woman
